rut;name;last_name;email;phone;channel;date;user
256807750;Pamela;Ponce;pamela.ponce@tutamail.ro;56984285734;Email;24-08-2022;AC2
111484872;Rodrigo;Peralta;rodrigo.peralta@gmx.com;56902401406;Call Center;23-04-2023;AC3
163820250;Camila;Peralta;camila.peralta@tutamail.ar;56985410597;Web;08-05-2023;AC2
141464655;Luis;Coronel;luis.coronel@tutamail.bg;56963865259;Web;15-01-2024;AC1
228047961;Catalina;Ponce;catalina.ponce@tutamail.eu;56970498250;Web;28-01-2024;JC
141796852;Laura;Ojeda;laura.ojeda@hotmail.com;56967963891;Call Center;03-01-2024;AC2
136927957;Carolina;Campos;carolina.campos@tutamail.hk;56993886550;Email;24-05-2024;AC2
243095174;Javiera;Vera;javiera.vera@tutamail.fr;56958265976;Email;07-04-2023;AC3
256024063;Jose;Moreno;jose.moreno@tutamail.ar;56918874775;Email;23-01-2023;AC2
101672336;Carolina;Carrizo;carolina.carrizo@tutamail.hk;56900037417;Call Center;18-07-2023;AC2
167766293;Ricardo;Gonzalez;ricardo.gonzalez@tutamail.es;56950468279;Call Center;27-04-2024;AC3
128615873;Eduardo;Figueroa;eduardo.figueroa@tutamail.co;56901253802;Web;11-09-2022;JC
149959386;Gonzalo;Suarez;gonzalo.suarez@tutamail.uk;56953916711;Call Center;14-08-2023;AC3
16432320K;Roberto;Hernandez;roberto.hernandez@tutamail.uk;56957540610;Email;10-09-2022;AC1
168183216;Carmen;Figueroa;carmen.figueroa@tutamail.org;56956745938;Call Center;08-02-2024;AC3
156076376;Isabel;Godoy;isabel.godoy@tutamail.sk;56918259418;Web;14-02-2024;AC1
231271333;Victor;Caceres;victor.caceres@tutamail.id;56990681792;Call Center;22-11-2023;AC3
254060674;Alvaro;Gomez;alvaro.gomez@tutamail.pl;56949178685;Web;21-07-2022;AC3
171082056;Luisa;Navarro;luisa.navarro@tutamail.uk;56990213004;Email;15-07-2022;AC1
237185528;Valentina;Campos;valentina.campos@protonmail.com;56993792055;Email;07-03-2023;AC3
206619600;Elena;Vidal;elena.vidal@tutamail.gr;56916043770;Call Center;05-07-2023;AC2
136511009;Luisa;Fernandez;luisa.fernandez@tutamail.nz;56961895044;Call Center;10-12-2022;JC
143076725;Monica;Campos;monica.campos@tutamail.cz;56905084790;Web;04-08-2023;AC3
126125119;Jose;Fernandez;jose.fernandez@tutamail.ca;56963817479;Web;10-10-2022;AC2
251351686;Patricio;Carrizo;patricio.carrizo@aol.com;56989495763;Email;24-01-2024;AC3
130244513;Rodrigo;Mendez;rodrigo.mendez@tutamail.cn;56925454470;Email;10-11-2022;AC3
174685797;Patricio;Ojeda;patricio.ojeda@mail.com;56964310831;Email;13-02-2024;AC1
126835493;Javiera;Peralta;javiera.peralta@tutamail.net;56960490688;Call Center;19-12-2023;AC3
244195172;Pedro;Ojeda;pedro.ojeda@tutamail.pl;56900804661;Web;22-09-2022;JC
159612694;Claudio;Gimenez;claudio.gimenez@inbox.com;56944761872;Web;09-10-2022;AC2
228747092;Marcela;Flores;marcela.flores@live.com;56945452570;Call Center;06-10-2022;AC3
179224836;Marcela;Gimenez;marcela.gimenez@aol.com;56977466923;Call Center;21-11-2022;AC3
125541283;Hernan;Castro;hernan.castro@tutamail.br;56907267001;Email;15-07-2023;AC2
133234373;Monica;Paez;monica.paez@aol.com;56925489251;Call Center;14-02-2024;AC2
157172433;Isabel;Vidal;isabel.vidal@tutamail.hk;56976409056;Web;23-12-2023;AC3
23153086K;Ana;Herrera;ana.herrera@tutamail.hu;56919874121;Web;21-04-2023;JC
203150458;Loreto;Ponce;loreto.ponce@tutamail.nz;56943321729;Web;17-06-2022;AC2
238062152;Felipe;Hernandez;felipe.hernandez@tutamail.ro;56991838955;Email;27-02-2023;AC3
178169645;Pamela;Silva;pamela.silva@tutamail.pt;56945374855;Web;31-10-2023;AC3
237296877;Manuel;Rojas;manuel.rojas@yandex.com;56996614703;Call Center;07-03-2023;JC
167969674;Raul;Paez;raul.paez@tutamail.ar;56998236895;Web;27-10-2023;AC1
195508372;Rocio;Perez;rocio.perez@tutamail.cz;56949554501;Web;28-06-2022;AC2
192427770;Monica;Peralta;monica.peralta@outlook.com;56953855612;Call Center;09-12-2023;AC1
259632293;Ana;Godoy;ana.godoy@tutamail.uk;56946547154;Call Center;09-11-2023;JC
232917377;Javiera;Peralta;javiera.peralta@yopmail.com;56954991880;Call Center;07-10-2022;AC1
217864003;Carmen;Moreno;carmen.moreno@zoho.com;56904198496;Call Center;01-11-2022;AC1
195127417;Natalia;Lopez;natalia.lopez@gmail.com;56952826994;Email;03-04-2024;AC1
106045992;Monica;Romero;monica.romero@tutamail.tw;56962256934;Call Center;09-09-2023;AC1
224663293;Laura;Vargas;laura.vargas@tuta.io;56955338423;Email;28-01-2024;AC2
125207081;Cristian;Gutierrez;cristian.gutierrez@tutamail.hk;56935724985;Email;20-11-2023;AC3
150319994;Carolina;Flores;carolina.flores@aol.com;56922249679;Web;01-06-2023;AC1
100805669;Carolina;Moreno;carolina.moreno@tutamail.pt;56910671835;Email;28-12-2023;AC1
151765505;Maria;Mendez;maria.mendez@tutamail.co;56945178628;Email;05-06-2022;JC
222912008;Teresa;Ojeda;teresa.ojeda@tutamail.jp;56983311614;Email;16-09-2023;AC2
185668274;Carolina;Benitez;carolina.benitez@msn.com;56913391579;Email;16-04-2024;AC1
201687233;Fernando;Vidal;fernando.vidal@protonmail.com;56914973806;Call Center;09-06-2023;AC2
118288459;Felipe;Romero;felipe.romero@yopmail.com;56977225571;Email;18-06-2022;AC2
197423048;Veronica;Ponce;veronica.ponce@tutamail.tw;56963285948;Web;03-02-2023;AC1
115691171;Daniela;Paez;daniela.paez@icloud.com;56929705958;Call Center;21-05-2024;AC1
250519877;Natalia;Cordoba;natalia.cordoba@tutamail.nz;56929405917;Email;27-11-2022;AC1
208194585;Claudio;Cardozo;claudio.cardozo@tutamail.pt;56958730086;Web;27-12-2022;JC
145794722;Constanza;Cordoba;constanza.cordoba@yahoo.com;56924461835;Call Center;02-05-2024;JC
228879444;Carolina;Vidal;carolina.vidal@yahoo.com;56912636949;Call Center;23-01-2023;AC2
183018396;Pedro;Medina;pedro.medina@tutamail.ro;56964180491;Call Center;11-09-2023;AC2
161850942;Monica;Sosa;monica.sosa@outlook.com;56928130748;Web;09-11-2022;AC3
124047277;Andres;Rodriguez;andres.rodriguez@icloud.com;56939830753;Email;26-11-2023;AC1
19819204K;Fernando;Ponce;fernando.ponce@tutamail.tw;56992074457;Call Center;21-04-2024;AC3
248918497;Fernando;Romero;fernando.romero@tutamail.es;56945613281;Web;21-01-2023;JC
223806945;Daniela;Arias;daniela.arias@tutamail.nl;56990113199;Email;28-09-2023;JC
188553966;Constanza;Castro;constanza.castro@tutamail.pt;56968908760;Email;13-06-2022;AC2
20876456K;Natalia;Flores;natalia.flores@protonmail.com;56996902884;Web;01-02-2024;AC3
230870004;Natalia;Paez;natalia.paez@tutamail.ar;56906209613;Call Center;10-06-2023;JC
16780845K;Paula;Hernandez;paula.hernandez@tutamail.net;56916730209;Call Center;26-07-2023;AC1
111545723;Roberto;Arias;roberto.arias@tutamail.ch;56960524329;Call Center;17-03-2023;AC1
219221495;Felipe;Suarez;felipe.suarez@tutamail.id;56912915768;Email;23-10-2023;AC2
14947756K;Raul;Vera;raul.vera@tutamail.pt;56960565587;Email;12-03-2023;AC3
237217268;Carolina;Godoy;carolina.godoy@tutamail.fr;56908391452;Web;23-08-2022;JC
218552994;Andrea;Cardozo;andrea.cardozo@tutamail.at;56945694242;Web;14-01-2024;JC
22261824K;Rocio;Ramirez;rocio.ramirez@me.com;56913642770;Email;19-11-2023;JC
203948476;Sebastian;Sosa;sebastian.sosa@tutamail.jp;56917845248;Email;15-07-2023;AC1
230932832;Gabriela;Vazquez;gabriela.vazquez@inbox.com;56902780789;Web;01-08-2022;AC3
219247192;Andrea;Carrizo;andrea.carrizo@tutamail.cz;56966398673;Email;13-09-2023;AC3
252931384;Sofia;Ramirez;sofia.ramirez@tutamail.it;56920092490;Web;31-07-2022;AC3
106152454;Andrea;Paez;andrea.paez@tutamail.cz;56910340309;Web;01-12-2023;AC1
121831759;Carlos;Aguirre;carlos.aguirre@tuta.io;56924031256;Call Center;29-09-2023;AC2
179050439;Margarita;Molina;margarita.molina@yahoo.com;56927621508;Web;10-09-2023;JC
255883828;Margarita;Castro;margarita.castro@tutamail.be;56989524970;Call Center;11-08-2023;AC1
145660580;Gabriela;Vidal;gabriela.vidal@tutamail.id;56952577942;Call Center;17-11-2023;AC2
217419026;Antonia;Vazquez;antonia.vazquez@tutamail.cl;56923479507;Email;18-08-2022;AC1
19663181K;Rocio;Hernandez;rocio.hernandez@tutamail.eu;56939276174;Email;27-09-2023;AC3
142139758;Constanza;Ponce;constanza.ponce@live.com;56919739460;Web;01-07-2022;JC
145016592;Andres;Benitez;andres.benitez@tutamail.mx;56917408990;Call Center;24-01-2023;AC2
253253096;Veronica;Vera;veronica.vera@tutamail.nz;56975632569;Web;17-07-2023;AC1
159049280;Gabriela;Figueroa;gabriela.figueroa@tutamail.br;56962004744;Web;22-01-2024;AC2
106885222;Valentina;Vidal;valentina.vidal@tutamail.ca;56941429674;Call Center;14-06-2022;JC
198765333;Ricardo;Ponce;ricardo.ponce@protonmail.com;56958152514;Email;29-01-2024;AC3
118219503;Florencia;Campos;florencia.campos@tutamail.tr;56920361546;Email;23-02-2023;AC1
113303514;Constanza;Campos;constanza.campos@tutamail.tr;56945359428;Email;31-01-2024;JC
123251415;Natalia;Alvarez;natalia.alvarez@tutamail.us;56916682506;Call Center;10-05-2024;AC2
223824986;Loreto;Nunez;loreto.nunez@tutamail.tw;56996412919;Call Center;04-02-2023;AC1
112826661;Ana;Vera;ana.vera@tutamail.gr;56921401493;Email;22-05-2024;AC3
106681910;Andrea;Herrera;andrea.herrera@tutamail.cl;56928590816;Web;18-03-2024;AC2
220523187;Pablo;Perez;pablo.perez@tutamail.pl;56970520202;Web;14-02-2024;AC2
18180534K;Roberto;Vargas;roberto.vargas@tutamail.au;56931108552;Email;22-07-2023;AC1
232689617;Fernando;Vidal;fernando.vidal@tutamail.co;56993117982;Call Center;09-08-2022;AC3
242182588;Daniela;Garcia;daniela.garcia@tutamail.com;56909634153;Call Center;10-08-2023;JC
120986422;Cristian;Vidal;cristian.vidal@tutamail.jp;56976648402;Web;27-08-2023;AC2
156906476;Rosa;Gonzalez;rosa.gonzalez@protonmail.com;56907700861;Web;08-07-2022;JC
239787266;Teresa;Ponce;teresa.ponce@mail.com;56956683917;Email;28-01-2023;AC2
21341898K;Javiera;Vera;javiera.vera@tutamail.tw;56960019081;Email;19-09-2022;AC2
228509019;Fernanda;Caceres;fernanda.caceres@tutamail.au;56990017527;Email;31-01-2023;AC3
126637624;Carmen;Gimenez;carmen.gimenez@tutamail.nz;56941162750;Web;01-09-2022;AC3
217044278;Catalina;Arias;catalina.arias@tutamail.kr;56909149949;Call Center;13-02-2024;JC
225193738;Paula;Caceres;paula.caceres@tutamail.us;56922979926;Call Center;28-11-2023;AC1
12754638K;Raul;Ponce;raul.ponce@tuta.io;56993693219;Email;17-10-2023;AC1
183178350;Alvaro;Vargas;alvaro.vargas@tutamail.pt;56988630141;Email;12-10-2023;AC1
188005020;Fernanda;Arias;fernanda.arias@tutamail.pt;56992404381;Web;18-09-2023;JC
101470334;Claudio;Vargas;claudio.vargas@tutamail.org;56990593329;Call Center;29-08-2022;AC1
249754781;Sofia;Garcia;sofia.garcia@tutamail.hk;56944441769;Email;07-12-2022;AC2
157153862;Valentina;Vidal;valentina.vidal@zoho.com;56913648645;Web;05-04-2023;AC3
223771904;Rodrigo;Gimenez;rodrigo.gimenez@tutamail.au;56982533959;Web;04-10-2022;AC2
242519353;Paula;Coronel;paula.coronel@yandex.com;56913514649;Web;04-08-2022;AC3
153521263;Antonia;Gimenez;antonia.gimenez@hotmail.com;56938674559;Call Center;13-08-2022;AC3
188020305;Natalia;Peralta;natalia.peralta@tutamail.uk;56953241456;Web;08-05-2024;AC2
189912366;Carlos;Diaz;carlos.diaz@tutamail.hk;56950332435;Web;27-10-2023;AC2
192180260;Valentina;Campos;valentina.campos@me.com;56969517907;Call Center;14-11-2023;AC2
24745182K;Eduardo;Coronel;eduardo.coronel@tutamail.org;56980656179;Call Center;09-08-2022;JC
138386694;Eduardo;Ojeda;eduardo.ojeda@tutamail.be;56937727060;Call Center;03-03-2023;JC
159675920;Luis;Hernandez;luis.hernandez@tutamail.us;56927440978;Web;27-12-2023;AC1
158603748;Javiera;Diaz;javiera.diaz@live.com;56921165717;Call Center;22-03-2024;AC3
121559242;Natalia;Castro;natalia.castro@tutamail.es;56905175128;Web;11-02-2024;AC3
196759611;Antonia;Hernandez;antonia.hernandez@yahoo.com;56989992470;Web;13-10-2023;AC2
221335376;Isabel;Figueroa;isabel.figueroa@zoho.com;56922919702;Web;10-09-2022;AC2
198507636;Valentina;Coronel;valentina.coronel@tutanota.com;56986656345;Email;12-11-2022;AC2
114089796;Alvaro;Herrera;alvaro.herrera@yahoo.com;56913738873;Web;26-08-2023;AC2
237696891;Constanza;Figueroa;constanza.figueroa@tutamail.ar;56929411079;Call Center;03-03-2023;AC2
118487141;Carmen;Caceres;carmen.caceres@tutamail.uk;56947889297;Email;08-09-2022;AC2
221028597;Isabel;Martinez;isabel.martinez@yandex.com;56929167198;Web;02-08-2023;AC1
127172110;Carolina;Suarez;carolina.suarez@aol.com;56966945847;Email;05-05-2023;AC3
208098942;Isabel;Carrizo;isabel.carrizo@tutamail.us;56956818051;Call Center;27-03-2024;AC1
243259452;Jose;Cordoba;jose.cordoba@tutamail.gr;56909826795;Call Center;11-07-2022;JC
23263801K;Carolina;Campos;carolina.campos@tutanota.com;56922696136;Web;18-03-2024;JC
148221529;Paula;Alvarez;paula.alvarez@mail.com;56916328979;Email;20-04-2024;AC1
229422286;Ana;Moreno;ana.moreno@tutamail.ru;56924467454;Email;07-04-2024;AC2
127079552;Paula;Cordoba;paula.cordoba@tutamail.nz;56902789097;Email;04-08-2023;AC1
237427874;Pedro;Vargas;pedro.vargas@tutamail.uk;56929692187;Email;12-01-2024;AC2
133677712;Camila;Cardozo;camila.cardozo@gmail.com;56982630421;Call Center;13-01-2023;JC
125250033;Natalia;Cordoba;natalia.cordoba@protonmail.com;56950875306;Web;28-01-2024;AC2
248811579;Pedro;Martinez;pedro.martinez@tutamail.hu;56951074415;Email;09-06-2023;JC
120363220;Luis;Nunez;luis.nunez@tutamail.be;56957959698;Web;28-09-2022;AC1
209237865;Elena;Moreno;elena.moreno@zoho.com;56979248286;Call Center;14-04-2023;JC
109836052;Andres;Campos;andres.campos@tutamail.bg;56967094071;Call Center;28-06-2023;AC1
251977313;Paula;Benitez;paula.benitez@msn.com;56946581457;Web;29-10-2022;AC2
24957077K;Alejandro;Castro;alejandro.castro@tutamail.ru;56951232979;Call Center;23-04-2023;AC3
258890701;Daniela;Cardozo;daniela.cardozo@tutamail.com;56906478558;Email;25-01-2023;AC3
200220668;Ana;Ferreyra;ana.ferreyra@tutamail.jp;56957350381;Call Center;31-07-2022;AC2
242923758;Patricio;Coronel;patricio.coronel@tutamail.gr;56909356833;Email;14-05-2024;AC1
185636828;Patricia;Caceres;patricia.caceres@tutamail.tw;56990594436;Email;22-02-2023;JC
151805574;Natalia;Ojeda;natalia.ojeda@tutamail.nl;56965066508;Web;04-12-2023;AC2
133722734;Laura;Gutierrez;laura.gutierrez@mail.com;56921118480;Call Center;29-03-2023;AC3
170344790;Javiera;Moreno;javiera.moreno@tutamail.kr;56931821905;Call Center;20-07-2023;AC3
173009534;Florencia;Ponce;florencia.ponce@aol.com;56938322893;Call Center;16-04-2023;AC2
107801448;Rosa;Rios;rosa.rios@tutamail.bg;56967104856;Web;16-04-2023;AC2
124353041;Roberto;Ramirez;roberto.ramirez@tutamail.ro;56967097669;Email;28-08-2022;AC3
160805420;Margarita;Vargas;margarita.vargas@tutamail.gr;56947392750;Web;16-12-2022;JC
208529145;Camila;Vargas;camila.vargas@tutamail.com;56994225369;Email;08-06-2022;AC2
194167830;Valentina;Cordoba;valentina.cordoba@tutamail.gr;56929692879;Web;16-11-2023;AC2
183746162;Eduardo;Vera;eduardo.vera@tutamail.au;56913951094;Web;07-10-2023;AC2
219357389;Ana;Jimenez;ana.jimenez@me.com;56936144372;Call Center;27-01-2023;AC1
177623393;Carmen;Coronel;carmen.coronel@tutamail.ro;56916861114;Web;12-09-2023;AC2
180767770;Ricardo;Ponce;ricardo.ponce@yopmail.com;56923731589;Web;06-07-2022;AC1
253263954;Fernando;Arias;fernando.arias@tutamail.au;56990039826;Call Center;01-08-2023;JC
182915858;Isabel;Garcia;isabel.garcia@tutamail.uk;56985884657;Call Center;29-12-2023;JC
100560658;Valentina;Vargas;valentina.vargas@zoho.com;56931114599;Web;26-02-2024;JC
206477563;Alvaro;Figueroa;alvaro.figueroa@tutanota.com;56948113732;Email;23-01-2023;AC2
200136160;Valentina;Peralta;valentina.peralta@tutamail.com;56994666632;Email;13-06-2023;AC1
122303217;Florencia;Martinez;florencia.martinez@tutamail.at;56918230327;Email;08-01-2023;JC
24515187K;Andrea;Coronel;andrea.coronel@tutamail.at;56902850832;Web;12-02-2023;AC3
16029325K;Andrea;Navarro;andrea.navarro@tutamail.es;56947764702;Call Center;05-01-2024;JC
209954974;Ricardo;Gutierrez;ricardo.gutierrez@tutamail.bg;56950227039;Email;06-12-2023;JC
21431486K;Carolina;Pereyra;carolina.pereyra@tutamail.cl;56970665740;Call Center;09-06-2023;AC2
176934158;Patricio;Molina;patricio.molina@tutamail.au;56988760119;Email;10-03-2024;AC3
187987962;Rosa;Vidal;rosa.vidal@live.com;56928895718;Call Center;26-10-2023;AC1
127351066;Sofia;Cabrera;sofia.cabrera@tutamail.de;56938791891;Call Center;27-02-2023;AC2
152042574;Rodrigo;Ponce;rodrigo.ponce@tutamail.id;56968015966;Call Center;23-04-2023;JC
211030917;Claudia;Rios;claudia.rios@tutamail.hu;56940919101;Call Center;25-05-2023;AC3
194636768;Teresa;Ojeda;teresa.ojeda@tutamail.tr;56970553098;Call Center;11-07-2022;JC
149148507;Gonzalo;Coronel;gonzalo.coronel@tutamail.nz;56951761827;Call Center;16-06-2022;AC1
154112731;Laura;Coronel;laura.coronel@tutamail.pl;56909810167;Web;19-05-2024;AC3
171565227;Jose;Medina;jose.medina@tutamail.ru;56995878150;Web;20-02-2023;AC3
